,vectorized
0,"  (0, 30)	0.582395312959625
  (0, 156)	0.2995794255359689
  (0, 75)	0.2761200588287842"
2212,"  (0, 187)	0.3576882208954882
  (0, 0)	0.23175354109213378
  (0, 196)	0.4689491006153915
  (0, 99)	0.3138005324212426
  (0, 160)	0.44937645443863505
  (0, 155)	0.3078012262446295
  (0, 117)	0.265815253736755
  (0, 10)	0.23205229952827525
  (0, 17)	0.18356299222331193
  (0, 156)	0.2123280859354913"
2213,"  (0, 182)	0.4531722428260737
  (0, 154)	0.48133567388739407
  (0, 0)	0.4616505922199466
  (0, 26)	0.4348446518345749
  (0, 199)	0.2578563793566284
  (0, 10)	0.2311228579256967
  (0, 167)	0.20206944108039418"
2214,"  (0, 131)	0.14640071186575015
  (0, 115)	0.17643431970693765
  (0, 165)	0.17542570541360103
  (0, 129)	0.345147401208152
  (0, 14)	0.12227763735303013
  (0, 94)	0.12557877741931178
  (0, 168)	0.13537203411904927
  (0, 4)	0.11770514197700244
  (0, 68)	0.17542570541360103
  (0, 42)	0.1251474899049943
  (0, 96)	0.12690777208898496
  (0, 164)	0.3240617991972469
  (0, 49)	0.22559828405646767
  (0, 150)	0.09638058728258751
  (0, 200)	0.11857003063024923
  (0, 199)	0.518000977100251
  (0, 117)	0.08864175992796902
  (0, 10)	0.07738278347972145
  (0, 89)	0.24224133720171198
  (0, 57)	0.170801518845375
  (0, 66)	0.1911772242005901
  (0, 167)	0.1353106823559571
  (0, 58)	0.12018677699070691
  (0, 17)	0.12242598165139518
  (0, 30)	0.11430295521665956
  (0, 172)	0.11192889503012618
  (0, 130)	0.11369312593901752"
2215,"  (0, 43)	0.25065412659610553
  (0, 59)	0.27064450432161236
  (0, 173)	0.24764917251585727
  (0, 190)	0.22845894620240648
  (0, 99)	0.4843277833595464
  (0, 41)	0.3550926529369861
  (0, 122)	0.20578452240451545
  (0, 128)	0.21211383657284316
  (0, 199)	0.133194198796648
  (0, 186)	0.2062112634532326
  (0, 88)	0.198661571321903
  (0, 105)	0.13708195897673728
  (0, 10)	0.11938515526283931
  (0, 89)	0.3737267949334342
  (0, 167)	0.10437778337361003
  (0, 17)	0.09443860876035484
  (0, 75)	0.1006833994383845"
2216,"  (0, 5)	0.5168216503167951
  (0, 187)	0.38252014294283065
  (0, 195)	0.5423589800568808
  (0, 0)	0.24784265314672654
  (0, 200)	0.3802472938844272
  (0, 77)	0.2939497806313899"
2217,"  (0, 13)	0.41738722781286575
  (0, 114)	0.32267784749049805
  (0, 26)	0.4115579372246122
  (0, 96)	0.35874315271423385
  (0, 200)	0.3351740079078328
  (0, 199)	0.24404770563578806
  (0, 201)	0.5016865807280194"
2218,"  (0, 184)	0.6699337018519235
  (0, 176)	0.4493398155341241
  (0, 4)	0.29801165832905385
  (0, 0)	0.19566928961228094
  (0, 155)	0.2598762763117058
  (0, 66)	0.2420159419623942
  (0, 17)	0.3099641120319367"
2219,"  (0, 29)	0.33323214961842457
  (0, 28)	0.22883349245728316
  (0, 125)	0.26909525788688116
  (0, 94)	0.25542198954465783
  (0, 25)	0.236685830506685
  (0, 164)	0.21970938929699882
  (0, 150)	0.39206818003971555
  (0, 197)	0.28092582010427064
  (0, 186)	0.2718619544168442
  (0, 79)	0.36030145524248197
  (0, 17)	0.12450466730116579
  (0, 156)	0.14401507285265538
  (0, 81)	0.22707897492165746
  (0, 75)	0.2654751761885092"
2220,"  (0, 194)	0.5907661512354053
  (0, 56)	0.4420753485480586
  (0, 52)	0.3722051762522392
  (0, 116)	0.5053601131613413
  (0, 75)	0.2482724381747089"
2221,"  (0, 191)	0.4264881611304058
  (0, 56)	0.3554788826754982
  (0, 21)	0.5077996331622598
  (0, 79)	0.27094935170635653
  (0, 30)	0.34966453615793974
  (0, 172)	0.34240204104255334
  (0, 130)	0.34779900546279674"
2222,"  (0, 131)	0.2840841291772638
  (0, 148)	0.3090828396216502
  (0, 157)	0.3102717164377891
  (0, 187)	0.23145517362664206
  (0, 47)	0.32978069936176
  (0, 25)	0.22580523680794848
  (0, 52)	0.18984954994300596
  (0, 49)	0.2188817638019284
  (0, 155)	0.19917397918384372
  (0, 199)	0.3350526888772664
  (0, 119)	0.21420902829532082
  (0, 174)	0.24803816116474656
  (0, 57)	0.3314328197245186
  (0, 17)	0.11878111090744203
  (0, 81)	0.21664001430302274"
2223,"  (0, 16)	0.5287310228003872
  (0, 35)	0.39681828273089387
  (0, 0)	0.24504981535267645
  (0, 76)	0.41455150764449367
  (0, 199)	0.2737466786081655
  (0, 174)	0.40530713551025177
  (0, 66)	0.3030928461374988"
2224,"  (0, 131)	0.26764876078397914
  (0, 18)	0.5846425891611456
  (0, 35)	0.22879376856454628
  (0, 184)	0.24187225868844225
  (0, 25)	0.21274152831138626
  (0, 56)	0.21244265799469844
  (0, 4)	0.21518771996775496
  (0, 0)	0.2825770544378202
  (0, 190)	0.27072242806146196
  (0, 83)	0.25022291172552175
  (0, 41)	0.21039129083769337
  (0, 199)	0.15783429583879335
  (0, 117)	0.16205424752434022
  (0, 167)	0.12368702307478013
  (0, 17)	0.11190916307430822"
2225,"  (0, 127)	0.2881071412981294
  (0, 44)	0.5729202638224928
  (0, 16)	0.27229283835806967
  (0, 178)	0.2803364801319577
  (0, 35)	0.2043586849602405
  (0, 163)	0.22930547670224652
  (0, 0)	0.12619896863266158
  (0, 42)	0.2043586849602405
  (0, 164)	0.17639145400911485
  (0, 150)	0.15738398019582844
  (0, 27)	0.28486229439893446
  (0, 174)	0.20873038572682823
  (0, 77)	0.1496762509377958
  (0, 167)	0.11047729813969163
  (0, 17)	0.09995730890902677
  (0, 156)	0.11562104005199876
  (0, 75)	0.21313405167184968"
2226,"  (0, 85)	0.19430901097913905
  (0, 104)	0.17205663824354364
  (0, 189)	0.173061817132036
  (0, 90)	0.1877920387459189
  (0, 13)	0.6882265529741746
  (0, 94)	0.14633355685182395
  (0, 140)	0.17462099661129993
  (0, 63)	0.14341280239802678
  (0, 193)	0.12816127188084087
  (0, 96)	0.29576439687596334
  (0, 41)	0.13410142350699605
  (0, 199)	0.4024083633107213
  (0, 186)	0.15575216070247425
  (0, 10)	0.09017206711506669
  (0, 17)	0.07132984455767515"
2227,"  (0, 171)	0.23795614781938923
  (0, 78)	0.27009258340571385
  (0, 15)	0.24347245969337156
  (0, 163)	0.22092632597240128
  (0, 109)	0.23870897510681638
  (0, 3)	0.24691158404258873
  (0, 114)	0.17958818010693492
  (0, 25)	0.1830771846019023
  (0, 95)	0.1721927288822311
  (0, 56)	0.18281998829155055
  (0, 4)	0.18518228314565793
  (0, 193)	0.17303467008788107
  (0, 52)	0.15392522154419894
  (0, 144)	0.27757929347696053
  (0, 41)	0.18105466054068658
  (0, 105)	0.2795814257884955
  (0, 117)	0.1394576584319297
  (0, 10)	0.24348843695784744
  (0, 116)	0.20899136374515406
  (0, 167)	0.10644029934379913
  (0, 75)	0.1026729139937118
  (0, 30)	0.17982971569290113
  (0, 172)	0.1760946716813714
  (0, 130)	0.1788702879562192"
2228,"  (0, 94)	0.7935575046072022
  (0, 156)	0.44743305790747606
  (0, 75)	0.41239561779092104"
2229,"  (0, 103)	0.4040618747117597
  (0, 189)	0.3513417234876685
  (0, 14)	0.28926985964872126
  (0, 117)	0.41939622008478117
  (0, 10)	0.1830629655672825
  (0, 124)	0.3944767478924013
  (0, 17)	0.14481039745399701
  (0, 156)	0.16750279641094296
  (0, 30)	0.2704043071873912
  (0, 172)	0.26478803857260425
  (0, 130)	0.26896164577053794"
2230,"  (0, 44)	0.35565998413715816
  (0, 28)	0.22809687182524657
  (0, 61)	0.31061269934572694
  (0, 0)	0.3133694233997244
  (0, 118)	0.3380703133973903
  (0, 164)	0.21900213937710983
  (0, 197)	0.5600430259804536
  (0, 146)	0.3028993306023269
  (0, 10)	0.15688669730583885
  (0, 77)	0.18583337471456285"
2231,"  (0, 163)	0.48405597601693073
  (0, 0)	0.2664016830838064
  (0, 141)	0.3615079398081604
  (0, 66)	0.3295021635722647
  (0, 75)	0.6748779808152489"
2232,"  (0, 95)	0.524942294326347
  (0, 113)	0.3179158791955454
  (0, 141)	0.25149912876235136
  (0, 52)	0.23462622224706825
  (0, 155)	0.24614985034123352
  (0, 105)	0.21308117371904461
  (0, 116)	0.31856282983298007
  (0, 77)	0.21981265907309575
  (0, 156)	0.16979960480964348
  (0, 75)	0.4695089803172799"
2233,"  (0, 28)	0.31646534665440545
  (0, 22)	0.4829000664666114
  (0, 63)	0.3461854806360387
  (0, 0)	0.21738694269131226
  (0, 105)	0.2499326108730876
  (0, 120)	0.37214536716527785
  (0, 66)	0.26887768545596474
  (0, 23)	0.4757121464719961"
2234,"  (0, 43)	0.33206733148613693
  (0, 50)	0.3408180108765958
  (0, 187)	0.24379252413907668
  (0, 106)	0.3307138850945952
  (0, 99)	0.21387962869907826
  (0, 42)	0.25578755920828256
  (0, 150)	0.19699120769253292
  (0, 137)	0.28563110214361664
  (0, 105)	0.181606586456273
  (0, 10)	0.1581618083274961
  (0, 119)	0.22562710041528314
  (0, 66)	0.1953724984480574
  (0, 167)	0.1382799974690354
  (0, 156)	0.2894364253105051
  (0, 81)	0.22818766627206727
  (0, 75)	0.26677133331485814"
2235,"  (0, 199)	0.38718125577940204
  (0, 17)	0.27452291063906326
  (0, 30)	0.5126163505075932
  (0, 172)	0.501969363591119
  (0, 130)	0.5098814390773069"
2236,"  (0, 2)	0.5080268386096948
  (0, 109)	0.4535549951721553
  (0, 56)	0.347364060651023
  (0, 105)	0.2656070057001062
  (0, 117)	0.2649741911401126
  (0, 66)	0.28574021086747164
  (0, 167)	0.20224011029914993
  (0, 75)	0.39016390556652614"
2237,"  (0, 139)	0.4242504687197107
  (0, 0)	0.1909846751630357
  (0, 52)	0.24177949118217154
  (0, 122)	0.6592503854600127
  (0, 181)	0.3352622865374993
  (0, 117)	0.219054430189318
  (0, 167)	0.1671921024926514
  (0, 81)	0.27589800683545335
  (0, 75)	0.16127444647830075"
2238,"  (0, 32)	0.5120605351222538
  (0, 109)	0.44288688869184595
  (0, 140)	0.437418209406112
  (0, 99)	0.30545006452074464
  (0, 96)	0.3704386511306587
  (0, 200)	0.34610112121732484"
2239,"  (0, 1)	0.4116956394445045
  (0, 26)	0.43694959530769645
  (0, 117)	0.26603215364379373
  (0, 167)	0.20304759442625003
  (0, 156)	0.42500268277623504
  (0, 30)	0.34304667877587314
  (0, 172)	0.3359216358523494
  (0, 130)	0.3412164556821757"
2240,"  (0, 53)	0.4047761354566348
  (0, 12)	0.4162721649431195
  (0, 71)	0.37360389719811715
  (0, 125)	0.31031609351907075
  (0, 159)	0.3405564391659292
  (0, 56)	0.27255864762333315
  (0, 113)	0.3109436904667083
  (0, 177)	0.3414883317775884
  (0, 75)	0.15307073831032647"
2241,"  (0, 171)	0.3085128027298134
  (0, 73)	0.32012362579198705
  (0, 90)	0.32872274804721413
  (0, 101)	0.28574061158899144
  (0, 62)	0.35988465351749416
  (0, 63)	0.2510386000612924
  (0, 197)	0.28172791741118497
  (0, 110)	0.3011785340895459
  (0, 117)	0.18080841137850143
  (0, 66)	0.19497836137024616
  (0, 167)	0.13800103664007984
  (0, 30)	0.23315123442253766
  (0, 172)	0.22830870815508922
  (0, 130)	0.23190732564870287"
2242,"  (0, 67)	0.5708896128334402
  (0, 135)	0.308697848597342
  (0, 31)	0.26722750436082093
  (0, 107)	0.2844392523269794
  (0, 187)	0.21772137922232873
  (0, 56)	0.21210829128972686
  (0, 74)	0.24656486936829677
  (0, 137)	0.25508574443417137
  (0, 105)	0.16218559867144494
  (0, 77)	0.16730923283883675
  (0, 167)	0.12349235020284548
  (0, 23)	0.308697848597342
  (0, 17)	0.11173302755394479
  (0, 156)	0.12924206338631325
  (0, 75)	0.11912141857384533"
2243,"  (0, 19)	0.4214527535440059
  (0, 60)	0.35362856519543723
  (0, 182)	0.3705433580194159
  (0, 94)	0.30668358704019555
  (0, 109)	0.3705433580194159
  (0, 0)	0.18873790637093812
  (0, 99)	0.25555620521770434
  (0, 77)	0.4476990983607683
  (0, 167)	0.16522523264906316"
2244,"  (0, 69)	0.5902552842241088
  (0, 122)	0.5205394859574933
  (0, 152)	0.6169581371573156"
2245,"  (0, 135)	0.514996658972106
  (0, 164)	0.3289389943356379
  (0, 41)	0.3504406570116921
  (0, 117)	0.2699275086333121
  (0, 10)	0.4712844594413689
  (0, 120)	0.40287729073856626
  (0, 156)	0.21561287564861112"
2246,"  (0, 195)	0.5238398359147948
  (0, 93)	0.5011849729888795
  (0, 95)	0.3390109266953139
  (0, 193)	0.1703342650926644
  (0, 199)	0.4011192216596619
  (0, 77)	0.2839127045282591
  (0, 156)	0.2193152352217552
  (0, 75)	0.2021411702193444"
2247,"  (0, 16)	0.3641365423347211
  (0, 39)	0.3809456449514045
  (0, 182)	0.3313322810673873
  (0, 9)	0.3059079126985456
  (0, 84)	0.35776995221638574
  (0, 41)	0.25130707233770105
  (0, 150)	0.210469209226952
  (0, 199)	0.18852907192023108
  (0, 119)	0.241064349829735
  (0, 167)	0.14774101880038376
  (0, 58)	0.26245550713032556
  (0, 17)	0.13367266310306883
  (0, 75)	0.2850236425517692"
2248,"  (0, 59)	0.19786808340590809
  (0, 126)	0.17396187655476938
  (0, 104)	0.16654295663476254
  (0, 16)	0.18808223570796564
  (0, 178)	0.19363826184948835
  (0, 154)	0.18177410464654836
  (0, 141)	0.11829005698752938
  (0, 164)	0.3655193345869713
  (0, 197)	0.778936660842217
  (0, 174)	0.14417741518439178
  (0, 66)	0.10781735451553584
  (0, 17)	0.06904402718898885
  (0, 75)	0.0736095910301244"
2249,"  (0, 126)	0.25725029719989495
  (0, 87)	0.27564563485440796
  (0, 28)	0.18765574858474451
  (0, 114)	0.19039610849142802
  (0, 173)	0.2677412069907836
  (0, 95)	0.1825555861759652
  (0, 99)	0.34908119950088534
  (0, 42)	0.208740375436737
  (0, 76)	0.218068675535952
  (0, 26)	0.24283981771829885
  (0, 122)	0.22248003435213975
  (0, 150)	0.32151695554506904
  (0, 155)	0.17120369496550453
  (0, 88)	0.21477919085316605
  (0, 105)	0.1482035606266466
  (0, 10)	0.2581419937093308
  (0, 17)	0.10210051113499585
  (0, 81)	0.1862169500154557
  (0, 75)	0.2177038963281184"
2250,"  (0, 18)	0.36111318947387655
  (0, 194)	0.3507065927959039
  (0, 125)	0.29879199497099723
  (0, 86)	0.36252323451612767
  (0, 121)	0.3507065927959039
  (0, 36)	0.3700068873559179
  (0, 193)	0.24838998240503407
  (0, 105)	0.200668529021117
  (0, 10)	0.17476292046291148
  (0, 66)	0.2158793501919155
  (0, 75)	0.2947724093376107"
2251,"  (0, 101)	0.3188166589994921
  (0, 97)	0.3887237046105738
  (0, 61)	0.3486797542842395
  (0, 22)	0.3907130856703704
  (0, 63)	0.28009769877084706
  (0, 137)	0.3180515510750926
  (0, 10)	0.17611390384968909
  (0, 167)	0.30795083131789447
  (0, 23)	0.38489735981802764
  (0, 17)	0.13931340145516835"
2252,"  (0, 71)	0.4458798614899829
  (0, 195)	0.4734154016720717
  (0, 133)	0.4302910905338968
  (0, 25)	0.32574441154638734
  (0, 99)	0.29292665640329435
  (0, 155)	0.2873264214849678
  (0, 17)	0.34270492236882333"
2253,"  (0, 134)	0.5986782375293129
  (0, 95)	0.323182665770214
  (0, 190)	0.437259684388808
  (0, 141)	0.30967273832111014
  (0, 155)	0.30308613221690023
  (0, 105)	0.2623684259860964
  (0, 10)	0.22849757551051894
  (0, 75)	0.19270329393280097"
2254,"  (0, 5)	0.44682414874059034
  (0, 3)	0.43513558899097354
  (0, 134)	0.28106926946433963
  (0, 56)	0.322186112057202
  (0, 197)	0.382945316749517
  (0, 110)	0.4093840262438166
  (0, 10)	0.2145514655356744
  (0, 167)	0.1875811640305654
  (0, 75)	0.18094185040895963"
2255,"  (0, 67)	0.3477456476797459
  (0, 102)	0.3708026147419439
  (0, 60)	0.32199607681314346
  (0, 187)	0.26524098645138783
  (0, 0)	0.1718550801001655
  (0, 83)	0.30435647808020166
  (0, 52)	0.21756213574842564
  (0, 199)	0.5759411486801601
  (0, 77)	0.20382594543130114
  (0, 156)	0.15745028120822624"
2256,"  (0, 187)	0.34176314351099524
  (0, 9)	0.40137824142082795
  (0, 118)	0.4777793542836531
  (0, 190)	0.42429147334626827
  (0, 79)	0.2537792467263051
  (0, 119)	0.3162977510139257
  (0, 58)	0.3443648416083698
  (0, 17)	0.17539035838939138"
2257,"  (0, 179)	0.65461166269184
  (0, 30)	0.4402706614488987
  (0, 172)	0.43112628677666626
  (0, 130)	0.43792172883443176"
2258,"  (0, 143)	0.30570659015004253
  (0, 189)	0.28394876054429036
  (0, 90)	0.3081171660257472
  (0, 157)	0.30570659015004253
  (0, 71)	0.3045352056560159
  (0, 28)	0.21510175420978928
  (0, 82)	0.31191634410274
  (0, 159)	0.2775972788738869
  (0, 134)	0.1938173373314196
  (0, 113)	0.25345908175445225
  (0, 52)	0.18705623322979714
  (0, 74)	0.25826147496606616
  (0, 155)	0.19624346918233168
  (0, 66)	0.18275638208377226
  (0, 167)	0.12935061102631548
  (0, 17)	0.11703344670486228
  (0, 156)	0.1353730805338274"
2259,"  (0, 188)	0.38554549612249706
  (0, 45)	0.34086561241637053
  (0, 106)	0.35760763046129457
  (0, 95)	0.2418925161961885
  (0, 42)	0.27658827485815446
  (0, 83)	0.30249391807461523
  (0, 141)	0.2317807413690843
  (0, 150)	0.21301058763978312
  (0, 146)	0.3301932284168011
  (0, 167)	0.2990499308545888
  (0, 75)	0.2884652525382755"
2260,"  (0, 59)	0.4410971964079513
  (0, 92)	0.3681156270904408
  (0, 191)	0.35055318518966155
  (0, 94)	0.3157601476784594
  (0, 134)	0.2548985075744799
  (0, 4)	0.2959623733958789
  (0, 52)	0.246006654199607
  (0, 199)	0.21708029067233173
  (0, 117)	0.22288427854235301
  (0, 77)	0.23047456627566643
  (0, 167)	0.17011521341909347
  (0, 17)	0.15391631786972668
  (0, 156)	0.17803565289325987"
2261,"  (0, 126)	0.3984800826357881
  (0, 62)	0.45584596798088506
  (0, 35)	0.3233383321956775
  (0, 168)	0.3497550591803196
  (0, 200)	0.30634442593678585
  (0, 167)	0.17479827359880695
  (0, 17)	0.1581534426085241
  (0, 30)	0.29531976176948477
  (0, 172)	0.28918600182089443
  (0, 130)	0.293744171386437"
2262,"  (0, 102)	0.5452140598069162
  (0, 51)	0.5613199060481124
  (0, 14)	0.39980555356300673
  (0, 105)	0.29052004626994815
  (0, 77)	0.2996979168550942
  (0, 156)	0.23150890425899479"
2263,"  (0, 37)	0.20096614936820714
  (0, 92)	0.18610470633321977
  (0, 126)	0.1960585271630547
  (0, 90)	0.20486306505302052
  (0, 123)	0.21823420839376867
  (0, 14)	0.15543943400748855
  (0, 151)	0.19540234619505026
  (0, 114)	0.14510685124456987
  (0, 134)	0.12886660713610448
  (0, 95)	0.2782626861125544
  (0, 0)	0.09824241214234801
  (0, 190)	0.18824192506857437
  (0, 141)	0.13331526889862688
  (0, 160)	0.19049472398989778
  (0, 155)	0.13047971040331768
  (0, 88)	0.32737992750479555
  (0, 105)	0.3388517579927524
  (0, 117)	0.22536295746132592
  (0, 79)	0.11259216116093212
  (0, 10)	0.09836905853263012
  (0, 89)	0.1539686943702556
  (0, 119)	0.140329234231701
  (0, 17)	0.31125601880518294
  (0, 81)	0.1419217833768214
  (0, 75)	0.16591897360796004
  (0, 172)	0.14228410418444573"
2264,"  (0, 143)	0.41158576033632654
  (0, 62)	0.45415594483470856
  (0, 9)	0.3605899728301075
  (0, 63)	0.3167978169852043
  (0, 0)	0.19893297881576769
  (0, 26)	0.3747636995138668
  (0, 96)	0.3266706796935862
  (0, 117)	0.22817092671520192
  (0, 167)	0.17415021888505755
  (0, 17)	0.15756709766433208"
2265,"  (0, 10)	1.0"
2266,"  (0, 92)	0.2759792021912262
  (0, 80)	0.33455709957880475
  (0, 54)	0.26601469153802487
  (0, 14)	0.23050492290954558
  (0, 28)	0.21208537550352008
  (0, 94)	0.2367278844662444
  (0, 114)	0.21518248424762706
  (0, 99)	0.19726285455073758
  (0, 141)	0.19769645956548496
  (0, 181)	0.2557432608266417
  (0, 199)	0.16274681383322698
  (0, 105)	0.16749717524516217
  (0, 10)	0.4376216189642603
  (0, 89)	0.2283239272769697
  (0, 136)	0.28976689881580797
  (0, 75)	0.1230226437227352"
2267,"  (0, 31)	0.27204666531716787
  (0, 0)	0.43083038268017065
  (0, 49)	0.628821336624886
  (0, 155)	0.19073440326230048
  (0, 117)	0.4941511872912647
  (0, 10)	0.1437952584405678
  (0, 77)	0.17032647511134097
  (0, 75)	0.1212696453846627"
2268,"  (0, 33)	0.4360996544766594
  (0, 55)	0.44185435011307006
  (0, 133)	0.4091631252212035
  (0, 99)	0.27854349957805563
  (0, 96)	0.3378073546221184
  (0, 116)	0.35359427256487835
  (0, 66)	0.2544409664914697
  (0, 156)	0.1884719814171298
  (0, 75)	0.17371317974647477"
2269,"  (0, 134)	0.5364636710011369
  (0, 113)	0.2338483428412546
  (0, 141)	0.18499439108205218
  (0, 52)	0.17258324245525639
  (0, 197)	0.48727312145663915
  (0, 110)	0.520914667492308
  (0, 79)	0.15623805485039574
  (0, 10)	0.1365014242921884
  (0, 66)	0.16861608113674378
  (0, 75)	0.11511839470879916"
2270,"  (0, 187)	0.5116336294042166
  (0, 0)	0.3314979315209072
  (0, 52)	0.41966404447187744
  (0, 167)	0.29020043673992385
  (0, 17)	0.5251333113535902
  (0, 156)	0.30371195607072365"
2271,"  (0, 135)	0.2294949794283402
  (0, 92)	0.3973294332605941
  (0, 162)	0.4427711191431144
  (0, 161)	0.23942010719579096
  (0, 108)	0.19293440219298424
  (0, 163)	0.19055529677351407
  (0, 187)	0.16186042006049928
  (0, 95)	0.14852117062089643
  (0, 63)	0.16700820095968405
  (0, 41)	0.15616484101522754
  (0, 174)	0.3469143534628551
  (0, 167)	0.09180781303832977
  (0, 17)	0.16613117957557103
  (0, 156)	0.09608231742750664
  (0, 75)	0.354233340197172
  (0, 30)	0.1551082909278916
  (0, 172)	0.1518867082715626
  (0, 130)	0.15428075696926774"
2272,"  (0, 54)	0.485185190942271
  (0, 0)	0.2657173606732725
  (0, 117)	0.6095417340056701
  (0, 10)	0.2660599025941264
  (0, 17)	0.210464416556535
  (0, 156)	0.24344507672120974
  (0, 172)	0.38483742209903204"
2273,"  (0, 131)	0.3476932203290183
  (0, 78)	0.4077196982139895
  (0, 194)	0.36880093875692
  (0, 133)	0.3650636910103513
  (0, 199)	0.20503705841121123
  (0, 10)	0.18377963360424024
  (0, 58)	0.28543664166868443
  (0, 17)	0.4361319347751737
  (0, 75)	0.3099808886302169"
2274,"  (0, 132)	0.38104746311416476
  (0, 28)	0.2920062075158045
  (0, 8)	0.3963428964512182
  (0, 0)	0.4011708540592083
  (0, 74)	0.35059664729060014
  (0, 199)	0.22407523281553432
  (0, 119)	0.2865157599379598
  (0, 66)	0.24809652635163387
  (0, 17)	0.317751875621241
  (0, 156)	0.18377246615971818"
2275,"  (0, 73)	0.3968195177348707
  (0, 62)	0.4461065761568907
  (0, 98)	0.4386798619926753
  (0, 134)	0.256319581254121
  (0, 197)	0.34922488473937
  (0, 110)	0.3733355210938649
  (0, 10)	0.19565903418886324
  (0, 77)	0.23175947509320968
  (0, 156)	0.1790282117857062"
2276,"  (0, 61)	0.5114224360530002
  (0, 0)	0.2579806850093231
  (0, 196)	0.5220192521812171
  (0, 155)	0.34263455401413234
  (0, 79)	0.2956625578461
  (0, 66)	0.3190865496284622
  (0, 167)	0.22584185402510895
  (0, 17)	0.20433649580053131"
2277,"  (0, 126)	0.659361086855819
  (0, 114)	0.4880063750926452
  (0, 52)	0.4182707868434833
  (0, 167)	0.2892369899601073
  (0, 17)	0.2616949512722779"
2278,"  (0, 87)	0.36295327733011984
  (0, 28)	0.2470935880941662
  (0, 82)	0.35830729941138284
  (0, 1)	0.3012759237914912
  (0, 46)	0.33988325151021265
  (0, 134)	0.22264356463299514
  (0, 141)	0.2303295426739037
  (0, 49)	0.24773633943943107
  (0, 10)	0.1699527777445493
  (0, 58)	0.26396151287434727
  (0, 156)	0.15550696145341633
  (0, 30)	0.25103910546940744
  (0, 172)	0.24582505002851182
  (0, 130)	0.2496997613023373"
2279,"  (0, 195)	0.4064348302782964
  (0, 185)	0.4007380183050233
  (0, 61)	0.36819061793771063
  (0, 164)	0.25959831390276983
  (0, 41)	0.2765674038341214
  (0, 49)	0.27108224868910125
  (0, 119)	0.2652951258760429
  (0, 77)	0.22028109350882627
  (0, 17)	0.2942177556255167
  (0, 156)	0.34032291663781516"
2280,"  (0, 145)	0.5541946031744711
  (0, 5)	0.5091181258643593
  (0, 181)	0.4285880843739308
  (0, 167)	0.2137327871554695
  (0, 17)	0.19338049164338628
  (0, 81)	0.352698776392097
  (0, 75)	0.20616785379726807"
2281,"  (0, 40)	0.3174614541246585
  (0, 12)	0.3174614541246585
  (0, 157)	0.2860173128037953
  (0, 195)	0.30251683815650093
  (0, 9)	0.25057955107238006
  (0, 176)	0.3174614541246585
  (0, 196)	0.27972938813064396
  (0, 76)	0.2338637375173137
  (0, 52)	0.17500872698010148
  (0, 122)	0.23859461808852872
  (0, 181)	0.2426749501559555
  (0, 77)	0.32791845063238007
  (0, 167)	0.24203936301875356
  (0, 156)	0.12665426905338728"
2282,"  (0, 163)	0.3678589660359109
  (0, 144)	0.4621904222685042
  (0, 41)	0.30146964119975445
  (0, 122)	0.34941745834860277
  (0, 199)	0.2261607329185708
  (0, 186)	0.35014205498431406
  (0, 30)	0.29943001580348694
  (0, 172)	0.29321088631707354
  (0, 130)	0.2978324963876882"
2283,"  (0, 33)	0.4497281118035366
  (0, 32)	0.48154669347480566
  (0, 113)	0.3639038368430901
  (0, 193)	0.30190777954485826
  (0, 0)	0.21214364337379213
  (0, 99)	0.28724820309870874
  (0, 141)	0.2878796056079365
  (0, 120)	0.3631693471453139"
2284,"  (0, 35)	0.3024366299475951
  (0, 38)	0.3820506918285852
  (0, 0)	0.18676568986314504
  (0, 26)	0.3518421193511228
  (0, 117)	0.4284307286640813
  (0, 79)	0.21404556539119715
  (0, 120)	0.31972475148469076
  (0, 77)	0.44302086721320094
  (0, 17)	0.14792985994678132
  (0, 156)	0.17111109180980352
  (0, 75)	0.15771178094841407"
2285,"  (0, 111)	0.26037044598341197
  (0, 16)	0.25419395693320346
  (0, 35)	0.19077528104282573
  (0, 125)	0.20168052835203373
  (0, 166)	0.2012759435302981
  (0, 94)	0.19143273727160542
  (0, 159)	0.22133432335326436
  (0, 140)	0.22843820710410223
  (0, 0)	0.11781071948517803
  (0, 76)	0.19930074751933355
  (0, 83)	0.20864355968822387
  (0, 141)	0.1598695248295624
  (0, 52)	0.14914398649324137
  (0, 41)	0.35086145824990367
  (0, 150)	0.14692291183679945
  (0, 137)	0.21303363601686873
  (0, 155)	0.156469168718694
  (0, 199)	0.2632141804889022
  (0, 201)	0.27054346170677673
  (0, 79)	0.13501870755718912
  (0, 77)	0.1397275033534787
  (0, 66)	0.14571562203741567
  (0, 156)	0.10793588936372023
  (0, 75)	0.19896736277885183"
2286,"  (0, 161)	0.5164972313775209
  (0, 1)	0.4015738622675537
  (0, 88)	0.3769578707328338
  (0, 105)	0.260111319103713
  (0, 17)	0.17919609029765876
  (0, 30)	0.334612676296402
  (0, 172)	0.3276628067046761
  (0, 130)	0.33282745030387256"
2287,"  (0, 145)	0.2960548238558826
  (0, 5)	0.27197463889260987
  (0, 153)	0.2698468265679203
  (0, 101)	0.23641260033122935
  (0, 28)	0.18987005067249563
  (0, 1)	0.2315044892823907
  (0, 134)	0.1710823223897727
  (0, 25)	0.19638537239104087
  (0, 0)	0.13042587525203142
  (0, 152)	0.2668011234231534
